Consolidated Statements of Comprehensive Income (Loss) - USD ($) $ in Millions,"Dec. 28, 2019","Dec. 29, 2018","Dec. 30, 2017",cik,timestamp,table_url,json_url
Net income (loss),341.0,337.0,-33.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Unrealized gains arising during period,0.0,0.0,1.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Unrealized gains (losses) arising during period,2.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Reclassification adjustment for (gains) losses realized and included in net income (loss),6.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total change in unrealized gains (losses) on cash flow hedges,8.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Unrealized gains (losses) arising during period,,-19.0,17.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Reclassification adjustment for (gains) losses realized and included in net income (loss),,5.0,-7.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total change in unrealized gains (losses) on cash flow hedges,,-14.0,10.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Cumulative-effect adjustment to accumulated deficit related to the adoption of ASU 2016-01, Financial Instruments",0.0,2.0,0.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Total comprehensive income (loss),349.0,325.0,-22.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R3.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
