"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions","Dec. 26, 2020","Dec. 28, 2019","Dec. 29, 2018",cik,timestamp,table_url,json_url
Net revenue,9763.0,6731.0,6475.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Cost of sales,5416.0,3863.0,4028.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Gross profit,4347.0,2868.0,2447.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Research and development,1983.0,1547.0,1434.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Marketing, general and administrative",995.0,750.0,562.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Operating income,1369.0,631.0,451.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Interest expense,-47.0,-94.0,-121.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Other expense, net",-47.0,-165.0,0.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Income before income taxes and equity income (loss),1275.0,372.0,330.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Income tax provision (benefit),-1210.0,31.0,-9.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Equity income (loss) in investee,5.0,0.0,-2.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Net income,2490.0,341.0,337.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Basic (in usd per share),2.1,0.31,0.34,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Diluted (in usd per share),2.06,0.3,0.32,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Basic (in shares),1184.0,1091.0,982.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Diluted (in shares),1207.0,1120.0,1064.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
