Consolidated Statements of Stockholders Equity - USD ($) $ in Millions,Total,Common stock,Additional paid-in capital,Treasury stock,Accumulated deficit,"Accumulated deficit 
Cumulative Effect, Period of Adoption, Adjustment",Accumulated other comprehensive income (loss),cik,timestamp,table_url,json_url
"Beginning balance at Dec. 30, 2017",,9.0,8464.0,-108.0,-7775.0,,6.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Common stock issued under employee equity plans,,1.0,71.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock upon warrant exercise,,0.0,0.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Stock-based compensation,,,137.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of warrants,,,0.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock to settle convertible debt, 0,0.0,0.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Payment, Tax Withholding, Share-based Payment Arrangement",6,,,-6.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of treasury stock to partially settle debt,141,,78.0,64.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Net income, 337,,,,337.0,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Accounting Standards Update [Extensible List],us-gaap:AccountingStandardsUpdate201601Member,,,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Other comprehensive income (loss),,,,,,,-14.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Ending balance at Dec. 29, 2018", 1266,10.0,8750.0,-50.0,-7436.0,,-8.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Cumulative-effect adjustment to accumulated deficit related to the adoption of ASU 2016-01, Financial Instruments",,,,,,2.0,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Common stock issued under employee equity plans,,0.0,74.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock upon warrant exercise,,1.0,448.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Stock-based compensation,,,197.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of warrants,,,5.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock to settle convertible debt,377,1.0,485.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Payment, Tax Withholding, Share-based Payment Arrangement",6,,,-6.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of treasury stock to partially settle debt,7,,4.0,3.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Net income,341,,,,341.0,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Other comprehensive income (loss),,,,,,,8.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Ending balance at Dec. 28, 2019",2827,12.0,9963.0,-53.0,-7095.0,,0.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Cumulative-effect adjustment to accumulated deficit related to the adoption of ASU 2016-01, Financial Instruments",,,,,,0.0,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Common stock issued under employee equity plans,,0.0,85.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock upon warrant exercise,,0.0,0.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Stock-based compensation,,,274.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of warrants,,,5.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of common stock to settle convertible debt,217,0.0,217.0,,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Payment, Tax Withholding, Share-based Payment Arrangement",78,,,-78.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Issuance of treasury stock to partially settle debt,0,,0.0,0.0,,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Net income,2490,,,,2490.0,,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
Other comprehensive income (loss),,,,,,,17.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Ending balance at Dec. 26, 2020", 5837,12.0,10544.0,-131.0,-4605.0,,17.0,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
"Cumulative-effect adjustment to accumulated deficit related to the adoption of ASU 2016-01, Financial Instruments",,,,,,0.0,,0000002488,2021-03-18 11:53:26,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/index.json
