"Consolidated Statements of Stockholders Equity (Deficit) - USD ($) shares in Millions, $ in Millions",Total,Common Stock,Additional Paid-in Capital,Treasury Stock,Accumulated Deficit,Accumulated other comprehensive loss,cik,timestamp,table_url,json_url
"Beginning Balance, shares at Dec. 28, 2013",,725.0,,,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Beginning balance at Dec. 28, 2013",544.0,7.0,6894.0,-112.0,-6243.0,-2.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Net loss,-403.0,,,,-403.0,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Other comprehensive income (loss),-3.0,,,,,-3.0,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding, shares",,16.0,,,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock issued under stock-based compensation plans, net of tax withholding",-2.0,,4.0,-6.0,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Common stock issued by exercise of warrants, shares",,35.0,,,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Common stock issued by exercise of warrants,,1.0,,-1.0,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
Stock-based compensation,81.0,,81.0,,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
"Stock-based compensation related to restructuring and other special charges, net",5.0,,5.0,,,,0000002488,2021-03-18 11:53:41,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/R7.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/index.json
