"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions","Dec. 29, 2018","Sep. 29, 2018","Jun. 30, 2018","Mar. 31, 2018","Dec. 30, 2017","Sep. 30, 2017","Jul. 01, 2017","Apr. 01, 2017","Dec. 29, 2018","Dec. 30, 2017","Dec. 31, 2016",cik,timestamp,table_url,json_url
Net revenue,1419.0,1653.0,1756.0,1647.0,1340.0,1584.0,1151.0,1178.0,6475.0,5253.0,4319.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Cost of sales,882.0,992.0,1104.0,1050.0,888.0,1013.0,765.0,800.0,4028.0,3466.0,3316.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Gross margin,537.0,661.0,652.0,597.0,452.0,571.0,386.0,378.0,2447.0,1787.0,1003.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Research and development,371.0,363.0,357.0,343.0,320.0,320.0,285.0,271.0,1434.0,1196.0,1008.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Marketing, general and administrative",138.0,148.0,142.0,134.0,134.0,132.0,127.0,123.0,562.0,516.0,466.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Restructuring and other special charges, net",,,,,,,,,0.0,0.0,-10.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Licensing gain,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-27.0,0.0,-52.0,-88.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Operating income (loss),28.0,150.0,153.0,120.0,-2.0,119.0,-1.0,11.0,451.0,127.0,-373.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Interest expense,-29.0,-30.0,-31.0,-31.0,-31.0,-31.0,-32.0,-32.0,-121.0,-126.0,-156.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
"Other income (expense), net",4.0,-6.0,1.0,1.0,2.0,-3.0,-3.0,-5.0,0.0,-9.0,80.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Income (loss) before equity loss and income taxes,,,,,,,,,330.0,-8.0,-449.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Provision (benefit) for income taxes,-35.0,12.0,6.0,8.0,-12.0,22.0,3.0,5.0,-9.0,18.0,39.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Equity loss in investee,0.0,0.0,-1.0,-1.0,0.0,-2.0,-3.0,-2.0,-2.0,-7.0,-10.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Net income (loss),38.0,102.0,116.0,81.0,-19.0,61.0,-42.0,-33.0,337.0,-33.0,-498.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Basic,0.04,0.1,0.12,0.08,-0.02,0.06,-0.04,-0.04,0.34,-0.03,-0.6,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Diluted,0.04,0.09,0.11,0.08,-0.02,0.06,-0.04,-0.04,0.32,-0.03,-0.6,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Basic (shares),1002.0,987.0,972.0,968.0,965.0,957.0,945.0,939.0,982.0,952.0,835.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
Denominator for diluted earnings (loss) per share,1079.0,1076.0,1147.0,1039.0,965.0,1042.0,945.0,939.0,1064.0,952.0,835.0,0000002488,2021-03-18 11:53:32,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/index.json
