"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions","Dec. 28, 2019","Dec. 29, 2018","Dec. 30, 2017",cik,timestamp,table_url,json_url
Net revenue,6731.0,6475.0,5253.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Cost of sales,3863.0,4028.0,3466.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Gross profit,2868.0,2447.0,1787.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Research and development,1547.0,1434.0,1196.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Marketing, general and administrative",750.0,562.0,516.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Licensing gain,-60.0,0.0,-52.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Operating income,631.0,451.0,127.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Interest expense,-94.0,-121.0,-126.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Other expense, net",-165.0,0.0,-9.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Income (loss) before income taxes and equity loss,372.0,330.0,-8.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Provision for (benefit from) income taxes,31.0,-9.0,18.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Equity loss in investee,0.0,-2.0,-7.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Net income (loss),341.0,337.0,-33.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Basic (in usd per share),0.31,0.34,-0.03,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Diluted (in usd per share),0.3,0.32,-0.03,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Basic ((in shares)),1091.0,982.0,952.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Diluted (in shares),1120.0,1064.0,952.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R2.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
