Consolidated Statements of Stockholders Equity - USD ($) $ in Millions,Total,Common stock,Additional paid-in capital,Treasury stock,Accumulated deficit,Accumulated other comprehensive income (loss),cik,timestamp,table_url,json_url
"Beginning balance at Dec. 31, 2016",,9.0,8334.0,-119.0,-7742.0,-5.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock issued under employee equity incentive plans, net of tax withholding",,,20.0,-13.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Stock-based compensation,,,97.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Issuance of treasury stock to partially settle debt,,,13.0,24.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Net income (loss),-33.0,,,,-33.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other comprehensive income (loss),,,,,,11.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Ending balance at Dec. 30, 2017",596.0,9.0,8464.0,-108.0,-7775.0,6.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock issued under employee equity incentive plans, net of tax withholding",,1.0,71.0,-6.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Stock-based compensation,,,137.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Issuance of treasury stock to partially settle debt,,,78.0,64.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Net income (loss),337.0,,,,337.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other comprehensive income (loss),,,,,,-14.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Ending balance at Dec. 29, 2018",1266.0,10.0,8750.0,-50.0,-7436.0,-8.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Common stock issued under employee equity incentive plans, net of tax withholding",,,74.0,-6.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Stock-based compensation,,,197.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Issuance of common stock upon warrant exercise,,1.0,448.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Issuance of common stock to partially settle convertible debt, net",,1.0,485.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Issuance of treasury stock to partially settle debt,,,4.0,3.0,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Issuance of warrants,,,5.0,,,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Net income (loss),341.0,,,,341.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
Other comprehensive income (loss),,,,,,8.0,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
"Ending balance at Dec. 28, 2019",2827.0,12.0,9963.0,-53.0,-7095.0,,0000002488,2021-03-18 11:53:29,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/R6.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/index.json
